Publicerings-id,Konto-id,"Kontots användarnamn",Kontonamn,Beskrivning,"Varaktighet (sek)",Publiceringstid,Permalänk,Inläggstyp,Datakommentar,Datum,Visningar,Räckvidd,Gilla-markeringar,Delningar,Följer,Kommentarer,"Sparade objekt"
17855988387613178,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Fackförbundet DIK har rangordnat landets alla kommuner efter hur stor del av budgeten som går till kultur. Olofström hamnar på plats 54, den högsta placeringen av länets alla kommuner.
🎼
Karlskrona hamnar i listans botten, på plats 237. En placering som förvånar kommunalrådet Bengt Jönsson (KD).
🎼
Kommunstyrelsens förste vice ordförande i Olofström, Rolf Jönsson (C), berättar varför kommunen hamnar så högt.

Lyssna i Sveriges Radio-appen 📱
Foto: Mauritza Klingspor/Sveriges Radio",0,"02/02/2026 23:25",https://www.instagram.com/p/DUSY038ABZn/,"IG image",,Livstid,3533,2207,20,1,0,1,1
18305097490287033,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Linus Karlsson och flera andra blir ofta sena till sin vattengympa på måndagskvällarna eftersom färdtjänst inte håller tiden. ”Det är stressande, vi blir förbannade på sånt här”, säger han.
🏊‍♀️
Karlskrona Handikappidrottsförening som anordnar vattengympan har flera gånger klagat till Blekingetrafiken – men upplever ingen förbättring.
🏊‍♀️
Utvecklingsdirektör Mona Glans på Region Blekinge säger att alla klagomål utreds och att man nu får titta på om det finns tillräckligt många fordon.

Lyssna i Sveriges Radio-appen 📱
Foto: Mauritza Klingspor/Sveriges Radio",0,"02/01/2026 22:38",https://www.instagram.com/p/DUPumbSlLPx/,"IG image",,Livstid,5953,3589,44,23,0,0,1
18069788990636814,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Att hålla folkomröstningen om kärnkraft i Karlshamn den 14 juni istället för på den ordinarie valdagen i september riskerar att leda till ett lägre valdeltagande. Det menar David Karlsson, som forskar om lokal demokrati.
➖
Enligt en rapport beställd av SKR röstar i genomsnitt 68 procent om en lokal folkomröstning hålls på valdagen, mot 39 procent andra dagar. ”Det är ett väldigt tydligt mönster”, säger forskaren.
➖
Det finns dock saker som en kommun kan göra för att få upp valdeltagandet, säger han.
Lyssna i Sveriges Radio-appen 📱
📸Kärnfull Next",0,"02/26/2026 22:28",https://www.instagram.com/p/DVQFWW4DdqF/,"IG image",,Livstid,3924,2431,19,0,0,0,0
18563279860005996,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Politikerna i valnämnden vill att karlshamnsborna ska kunna förtidsrösta i folkomröstningen om kärnkraft. I ett förslag på riktlinjer pekas rådhuset - och en husbil som kan köras runt i kommunen - ut som lämpliga lokaler.
🗳
Folkomröstningen hålls den 14 juni och valnämnden föreslår att förtidsröstningen ska vara öppen i tio dagar. På valdagen vill politikerna se nio olika omröstningslokaler - hälften av de 18 som används vid ett ordinarie val.
🗳
Om valnämndens förslag blir verklighet avgörs av kommunfullmäktige i slutet av mars.

Lyssna i Sveriges Radio-appen📱",0,"02/25/2026 05:10",https://www.instagram.com/p/DVLpvBaoK7R/,"IG image",,Livstid,3647,2392,10,0,0,0,0
18095650957954875,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","I 17 år har pensionärerna i bouleföreningen samlats i Boulehallen intill ishallen i Kallinge. Men sedan ett år tillbaka står de utan lokal.
➖
Trots minusgrader och snö fortsätter de som kan att spela utomhus. Men långt ifrån alla orkar eller klarar kylan – och många tvingas stanna hemma.
➖
Mona Häggebrink berättar att det tagit hårt på flera av medlemmarna.

Lyssna i Sveriges Radio-appen 📱
📸 Mauritza Klingspor/Sveriges Radio",0,"02/23/2026 23:20",https://www.instagram.com/p/DVIc5xTDqiG/,"IG image",,Livstid,11596,7862,32,2,0,1,7
18038651840543520,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Vill du höras i Sveriges största radiokanal? ✨ 
Då är P4 Nästa Stjärna rätt tävling för dig!

Ansökningsperioden börjar den 11 maj – så börja knåpa på din låt redan nu. 🎵

Läs mer på https://www.sverigesradio.se/p4-nasta-stjarna",27,"02/23/2026 01:01",https://www.instagram.com/reel/DVGDohClQb7/,"IG reel",,Livstid,1790,1440,13,0,0,0,1
17870007372459168,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Politikerna som styr Karlshamn vill att kommunen blir delägare i Regionteatern. Ett av målen är att få mer inflytande över verksamheten.
➖
Regionteatern har anklagats för att överdriva publiksiffror. Och i Smålandsposten vittnade flera anställda om en osund chefskultur.
➖
Idag ägs Regionteatern av Växjö kommun, Region Blekinge och Region Kronoberg. Men delar av verksamheten bedrivs i Karlshamn.

Lyssna i Sveriges Radio-appen 📱
📸 Niklas Eriksson/Sveriges Radio.",0,"02/19/2026 22:36",https://www.instagram.com/p/DU-EvWCjbga/,"IG image",,Livstid,4512,2780,10,1,0,1,1
17912392659145578,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Rederiet som ska köra färjor mellan Karlshamn och Polen använder tjockolja. Det är samma typ av bränsle som läckte ut när Marco Polo gick på grund utanför Blekinge.
⛴️
”När den kommer i land är den extremt kletig”, säger Thomas Larsson som jobbar med miljöräddning på Kustbevakningen och deltog i saneringsarbetet 2023.
⛴️
Han tror att det är priset som får rederier att välja tjockolja som fartygsbränsle.

Lyssna i Sveriges Radio-appen 📱
📸 Johan Nilsson/TT",0,"02/16/2026 22:30",https://www.instagram.com/p/DU2VlRnDdHe/,"IG image",,Livstid,5339,3345,17,6,0,0,2
17957610951058099,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Fem chefer har köpts ut av Region Blekinge bara de två senaste åren. Den sammanlagda notan för skattebetalarna blev drygt 4,3 miljoner kronor.
💸
Enligt regiondirektör Linda Hultén är utköp inte en önskad eller snabb lösning. ”Det är i de fall där det faktiskt är så att det är det mest ansvarsfulla alternativet både ekonomiskt och organisatoriskt”, säger hon om hur skattepengar används.
💸
Konsekvenserna för utköp av chefer kan enligt facket leda till både oro, dålig kontinuitet i verksamheten och en tystnadskultur.

Lyssna i Sveriges Radio-appen 📱
📸Stina Linde/Sveriges Radio",0,"02/09/2026 22:24",https://www.instagram.com/p/DUkTVTOjZTC/,"IG image",,Livstid,7566,4684,19,3,0,0,5
18513701335078317,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Snart kan lax och öring vandra längs hela sitt naturliga utbredningsområde i Mörrumsån igen.
🐟
Uniper har ansökt om att få bygga en ny fiskväg för 60 miljoner förbi vattenkraftverket i Granö.
🐟
Liknande anläggningar finns redan i Fridafors och vid ett över hundraårigt kraftverk i Hemsjö.

Lyssna i Sveriges Radio-appen 📱
📸 Niklas Eriksson/Sveriges Radio",0,"02/08/2026 22:18",https://www.instagram.com/p/DUht5KcDZ4J/,"IG image",,Livstid,4129,2525,27,0,0,0,1
