Publicerings-id,Konto-id,"Kontots användarnamn",Kontonamn,Beskrivning,"Varaktighet (sek)",Publiceringstid,Permalänk,Inläggstyp,Datakommentar,Datum,Visningar,Räckvidd,Gilla-markeringar,Delningar,Följer,Kommentarer,"Sparade objekt"
17983250327943045,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Sedan Rysslands invasion av Ukraina har Saab Kockums i Karlskrona fått 20 000 jobbansökningar. Dessutom har över 700 personer anställts sedan februari 2022.

Företaget söker ofta svetsare, elektriker och ingenjörer. Och enligt Eva Claselius som är rekryteringschef är söktrycket som nu pågår, unikt.

På varvet tillverkas bland annat ubåtar till svenska marinen, och en potentiell affär med Polen kan säkra fler arbetstillfällen och nyanställningar.

Foto: SAAB Kockums",0,"01/05/2026 04:13",https://www.instagram.com/p/DTIOrFajuQ3/,"IG image",,Livstid,5665,3264,22,9,0,0,4
18327274045171217,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","När Nina Gustafsson fick plötslig, intensiv huvudvärk en kväll trodde hon att det var migrän. Hon var gravid i vecka 25 när det visade sig vara en stroke med två proppar i hjärnan.
➖
Hon kördes med ambulans till Lund för operation och blev kvar på sjukhus i flera månader. Under tiden födde hon sitt fjärde barn med planerat kejsarsnitt, halvsidesförlamad och rullstolsburen.
➖
I dag har Nina lärt sig gå igen och tränar nu för att få tillbaka funktionen i armen.

Lyssna i Sveriges Radio-appen 📱
📸 Privat",0,"01/26/2026 23:25",https://www.instagram.com/p/DUAXO8hDaQv/,"IG image",,Livstid,13379,8671,87,3,2,5,10
18070756274433145,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Omvårdnadsboendet Fregatten i Karlskrona stängs i mars, men trots det vet fortfarande åtta medarbetare inte var de ska arbeta efter det. Martina Gadd tycker att kommunikationen från ledningen har skötts dåligt.
➖
”Vi blev lovade samtal om våra placeringar men har inte sett röken av det. Många vet fortfarande inte vart de ska”, säger hon. Osäkerheten skapar oro och dålig stämning
➖
Avdelningschefen Jenny Hoffert vill inte medverka i intervju, men skriver i epost att ledningen kommer att föra enskilda dialoger.

Lyssna i Sveriges Radio-appen 📱
📸Yamile Lindgren/Sveriges Radio",0,"01/25/2026 22:37",https://www.instagram.com/p/DT9s-jgjpVy/,"IG image",,Livstid,20709,13728,35,5,1,1,11
18087201533108489,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Ett nätverk i Blekinge jagar och hänger ut män på nätet som de anser är pedofiler. Gruppen beskriver att de utger sig för att vara barn, chattar med män och stämmer träff med dem.
➖
På sociala medier sprider de sitt budskap och ber om tips från allmänheten. De skriver bland annat ”Pedofiler eller skumma personer som beter sig äckligt? Skicka det till oss”.
➖
Polisen Lena Larsson säger att det här kan förstöra deras utredningar – så att sexualbrottslingar går ostraffade.

Lyssna i Sveriges Radio-appen📱",0,"01/22/2026 04:07",https://www.instagram.com/p/DTz_ej0DnPx/,"IG image",,Livstid,5486,3255,21,1,0,1,4
17956713513047804,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Karlskrona kommun har lagt 15,5 miljoner kronor på att köpa ut chefer inom kommunen, något som BLT var först med att berätta.
➖
Utköpen tog fart 2024, sedan dess kommunen gjort sig av med nio chefer. Åren innan var det betydligt färre.
➖
Kommunalrådet Börje Dovstad (L) beskriver hur han ser på att skattepengar används till detta.

Lyssna i Sveriges Radio-appen📱",0,"01/20/2026 23:14",https://www.instagram.com/p/DTw5OusjP-w/,"IG image",,Livstid,5343,3178,17,3,0,3,2
17882925762440669,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Vräkningarna fortsätter att öka i Sverige trots förebyggande arbete hos bostadsbolagen. I Blekinge vräktes 32 personer och familjer under förra året.
➖
På Karlshamnsbostäder jobbar de tidigt med hyresgäster som får problem. Genom sms, samtal och möten försöker man lösa situationen innan det blir en vräkning.
➖
När arbetet inte räcker riskerar barn att drabbas hårdast. Karlshamnsbostäders marknadschef Elisabeth Bååth beskriver hur stress och otrygghet kan påverka barns vardag och skolgång.

Lyssna i Sveriges Radio-appen 📱",0,"01/20/2026 02:04",https://www.instagram.com/p/DTun6ChDpK5/,"IG image",,Livstid,4334,2645,6,1,0,0,1
18113682616615752,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Tim Hillsäter och hans hund Basse kom riktigt nära en varg i förra veckan. 
🐺
Det var under den vanliga morgonpromenaden som vargen plötsligt kom lufsande ner för gatan i Karlshamn. 
🐺
Plötsligt viker den av mot Tim och Basse - se på filmen hur Tim skrämmer iväg djuret. 
🐺
Klippet har under helgen fått stor spridning både i Sverige och utomlands. 
📸 Tim Hillsäter",40,"01/19/2026 05:47",https://www.instagram.com/reel/DTschExlF1a/,"IG reel",,Livstid,10890,6940,261,71,0,9,25
18087773654035546,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Kronolaxfisket i Mörrum registrerade 664 fångade laxar och öringar förra året. Det är betydligt fler än de senaste säsongerna.
🐟
Laxen och öringen har länge plågats av svampsjukdomar och bestånden i Östersjön hotas också av utsläpp, övergödning och storskaligt sillfiske.
🐟
”Fantastiskt fint att se en vändning på detta även om vi inte vet om det är en trend”, säger platschefen Mattias Holmquist.

Lyssna i Sveriges Radio-appen 📱
Foto: Niklas Eriksson/Sveriges Radio",0,"01/18/2026 22:37",https://www.instagram.com/p/DTrrT8vDm4T/,"IG image",,Livstid,4170,2761,21,1,0,0,1
18370346947093979,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Teatersmedjan i Karlshamn har rekordmånga barn och unga som vill spela teater. Men brist på lokaler och resurser gör att 280 barn som står i kö inte får plats.
🎭
För att möta det stora intresset har föreningen sökt ytterligare 650 000 kronor. Men enligt Tommy Strannemalm (SD), ordförande i ansvarigt utskott, finns det inget utrymme att öka den totala summan för kulturstöd.
🎭
”Många barn får inte fullfölja sin dröm – det är såklart jättetråkigt”, säger Teatersmedjans regissör Povel Andersson.

Lyssna i Sveriges Radio-appen 📱",0,"01/12/2026 22:36",https://www.instagram.com/p/DTcOfbCDRoH/,"IG image",,Livstid,5202,3054,50,5,2,0,1
18067668989168645,17841401044357964,p4blekinge,"Sveriges Radio P4 Blekinge","Kvinnojouren Karlskrona tog emot över 600 stödsamtal under 2025 – fler än någonsin. Verksamhetschef Jessica Gunnar ser ett tydligt mönster: Ju mer jouren syns desto fler samtal kommer in.

2025 stack ut på flera sätt. Kvinnomord ökade oron, fler unga sökte stöd och allt fler reagerade på att strypsex är våld.

”Det är så vanligt förekommande i ungas relationer. De ser inte det som en kriminell handling”, säger Jessica Gunnar.",0,"01/05/2026 23:00",https://www.instagram.com/p/DTKPsxRjqAk/,"IG image",,Livstid,5538,3279,30,1,0,0,2
